시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
유치원,동래초교부속유치원,부산광역시 금정구 체육공원로44번길 26,부산광역시 금정구 구서동 73,35.24710743,129.0984812,부산광역시 금정구청,금정경찰서,Y,1,10~16,2021-12-23,3350000,부산광역시 금정구
유치원,금사초등학교병설유치원,부산광역시 금정구 금사로57번길 24,부산광역시 금정구 서동 41-3,35.218913,129.109559,부산광역시 금정구청,금정경찰서,N,,3.5~5,2021-12-23,3350000,부산광역시 금정구
초등학교,현곡초등학교,부산광역시 금정구 동부곡로27번길 20,부산광역시 금정구 부곡동 산70,35.22641657,129.0949785,부산광역시 금정구청,금정경찰서,N,,6~12,2021-12-23,3350000,부산광역시 금정구
초등학교,청룡초등학교,부산광역시 금정구 팔송로 6,부산광역시 금정구 청룡동 46,35.272731,129.0917551,부산광역시 금정구청,금정경찰서,Y,2,6~32,2021-12-23,3350000,부산광역시 금정구
초등학교,장전초등학교,부산광역시 금정구 수림로 90,부산광역시 금정구 장전동 657-8,35.24137393,129.0827578,부산광역시 금정구청,금정경찰서,Y,2,15,2021-12-23,3350000,부산광역시 금정구
초등학교,공덕초등학교,부산광역시 금정구 대두로 2,부산광역시 금정구 두구동 224-1,35.29585964,129.1113124,부산광역시 금정구청,금정경찰서,Y,1,3~15,2021-12-23,3350000,부산광역시 금정구
초등학교,장서초등학교,부산광역시 금정구 금강로 453번길 26-7,부산광역시 금정구 구서동 709-3,35.2480494,129.085406,부산광역시 금정구청,금정경찰서,Y,1,6~20,2021-12-23,3350000,부산광역시 금정구
초등학교,서명초등학교,부산광역시 금정구 명서로 48,부산광역시 금정구 서동 302-1953,35.21516544,129.0946322,부산광역시 금정구청,금정경찰서,Y,1,6~7,2021-12-23,3350000,부산광역시 금정구
초등학교,서동초등학교,부산광역시 금정구 동현로 147,부산광역시 금정구 서동 산47,35.21911316,129.0968816,부산광역시 금정구청,금정경찰서,Y,1,8,2021-12-23,3350000,부산광역시 금정구
초등학교,서곡초등학교,부산광역시 금정구 윤산로 279,부산광역시 금정구 서동 134-13,35.220475,129.104852,부산광역시 금정구청,금정경찰서,N,,5~12,2021-12-23,3350000,부산광역시 금정구
초등학교,부곡초등학교,부산광역시 금정구 기찰로22번길 15,부산광역시 금정구 부곡동 241-1,35.2341134,129.0932522,부산광역시 금정구청,금정경찰서,N,,6,2021-12-23,3350000,부산광역시 금정구
초등학교,두실초등학교,부산광역시 금정구 중앙대로1893번길 33,부산광역시 금정구 구서동 1052,35.25315811,129.0894003,부산광역시 금정구청,금정경찰서,N,,8,2021-12-23,3350000,부산광역시 금정구
초등학교,동현초등학교,부산광역시 금정구 동현로 36,부산광역시 금정구 부곡동 337-1,35.2220213,129.0927614,부산광역시 금정구청,금정경찰서,N,,3.5~8,2021-12-23,3350000,부산광역시 금정구
초등학교,구서초등학교,부산광역시 금정구 구서중앙로 35,부산광역시 금정구 구서동 752,35.254258,129.0871377,부산광역시 금정구청,금정경찰서,N,,7~13,2021-12-23,3350000,부산광역시 금정구
초등학교,삼육초등학교,부산광역시 금정구 금정도서관로 17,부산광역시 금정구 청룡동 2-6,35.27276458,129.0947476,부산광역시 금정구청,금정경찰서,N,,8~16,2021-12-23,3350000,부산광역시 금정구
특수학교,은애학교,부산광역시 금정구 청룡예전로 107,부산광역시 금정구 청룡동 276-2,35.278658,129.0848121,부산광역시 금정구청,금정경찰서,N,,5,2021-12-23,3350000,부산광역시 금정구
어린이집,부산대부설어린이집,부산광역시 금정구 금강로321번길 63,부산광역시 금정구 장전동 산30,35.23651909,129.083368,부산광역시 금정구청,금정경찰서,Y,3,8~10,2021-12-23,3350000,부산광역시 금정구
어린이집,꽃잎어린이집,부산광역시 금정구 금단로 88,부산광역시 금정구 구서동 153-1,35.25717246,129.0940639,부산광역시 금정구청,금정경찰서,N,,6~8,2021-12-23,3350000,부산광역시 금정구
유치원,한신유치원,부산광역시 금정구 중앙대로1685번길 24,부산광역시 금정구 부곡동 26-11,35.23674462,129.0899237,부산광역시 금정구청,금정경찰서,Y,2,8~10,2021-12-23,3350000,부산광역시 금정구
유치원,한독유치원,부산광역시 금정구 기찰로 59,부산광역시 금정구 부곡동 227-4,35.236151,129.0930671,부산광역시 금정구청,금정경찰서,N,,7,2021-12-23,3350000,부산광역시 금정구
유치원,하늘빛유치원,부산광역시 금정구 금강로 211,부산광역시 금정구 장전동 723,35.22813497,129.0818789,부산광역시 금정구청,금정경찰서,N,,12~18,2021-12-23,3350000,부산광역시 금정구
유치원,하나유치원,부산광역시 금정구 동현로 106,부산광역시 금정구 부곡동 963-2,35.21929988,129.095002,부산광역시 금정구청,금정경찰서,N,,7~12,2021-12-23,3350000,부산광역시 금정구
어린이집,새밀알어린이집-1구간,경기도 수원시 장안구 덕영대로439번길 88,경기도 수원시 장안구 율전동 112-1,37.3047952717,126.9714482367,경기도 수원시 장안구청,경기도 수원시 중부경찰서,N,0,17,2021-11-30,3740000,경기도 수원시
어린이집,새밀알어린이집-2구간,경기도 수원시 장안구 덕영대로439번길 88,경기도 수원시 장안구 율전동 112-1,37.3047952717,126.9714482367,경기도 수원시 장안구청,경기도 수원시 중부경찰서,N,0,7,2021-11-30,3740000,경기도 수원시
어린이집,새밀알어린이집-3구간,경기도 수원시 장안구 덕영대로439번길 88,경기도 수원시 장안구 율전동 112-1,37.3047952717,126.9714482367,경기도 수원시 장안구청,경기도 수원시 중부경찰서,N,0,7,2021-11-30,3740000,경기도 수원시
어린이집,웅지어린이집-1구간,경기도 수원시 장안구 일월로90번길 26-1,경기도 수원시 장안구 천천동 325-10,37.2908878685,126.9773366721,경기도 수원시 장안구청,경기도 수원시 중부경찰서,N,0,6~8,2021-11-30,3740000,경기도 수원시
