,Unnamed: 0,사고다발지FID,연도,법정동코드,지점코드,행정구역,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤,지역
10,10,6230074,2017,1159010500,11590001,동작구,서울특별시 동작구 흑석동(중대부속초교 부근),3,3,0,2,1,0,126.9616646,37.50688296,"{""type"":""Polygon"",""coordinates"":[[[126.96435952,37.50688296],[126.96430774,37.50646589],[126.96415438,37.50606484],[126.96390534,37.50569523],[126.96357019,37.50537126],[126.96316181,37.50510539],[126.96269589,37.50490782],[126.96219033,37.50478617],[126.96166458,37.50474509],[126.96113882,37.50478617],[126.96063327,37.50490782],[126.96016734,37.50510539],[126.95975896,37.50537126],[126.95942381,37.50569523],[126.95917477,37.50606484],[126.95902141,37.50646589],[126.95896963,37.50688296],[126.95902141,37.50730004],[126.95917477,37.50770108],[126.95942381,37.50807068],[126.95975896,37.50839463],[126.96016734,37.5086605],[126.96063327,37.50885805],[126.96113882,37.5089797],[126.96166458,37.50902078],[126.96219033,37.5089797],[126.96269589,37.50885805],[126.96316181,37.5086605],[126.96357019,37.50839463],[126.96390534,37.50807068],[126.96415438,37.50770108],[126.96430774,37.50730004],[126.96435952,37.50688296]]]}",서울
11,11,6230704,2017,1162010200,11620001,관악구,서울특별시 관악구 신림동(애동유치원 부근),1,1,1,0,0,0,126.9204697,37.47394854,"{""type"":""Polygon"",""coordinates"":[[[126.9231646,37.47394854],[126.92311282,37.47353128],[126.92295946,37.47313006],[126.92271042,37.47276028],[126.92237527,37.47243617],[126.92196689,37.47217018],[126.92150097,37.47197253],[126.92099542,37.47185082],[126.92046966,37.47180972],[126.9199439,37.47185082],[126.91943835,37.47197253],[126.91897243,37.47217018],[126.91856404,37.47243617],[126.91822889,37.47276028],[126.91797985,37.47313006],[126.9178265,37.47353128],[126.91777471,37.47394854],[126.9178265,37.4743658],[126.91797985,37.47476702],[126.91822889,37.47513678],[126.91856404,37.47546088],[126.91897243,37.47572686],[126.91943835,37.4759245],[126.9199439,37.4760462],[126.92046966,37.4760873],[126.92099542,37.4760462],[126.92150097,37.4759245],[126.92196689,37.47572686],[126.92237527,37.47546088],[126.92271042,37.47513678],[126.92295946,37.47476702],[126.92311282,37.4743658],[126.9231646,37.47394854]]]}",서울
12,12,6230399,2017,1162010100,11620002,관악구,서울특별시 관악구 봉천동(원당초교 부근),1,1,1,0,0,0,126.9572322,37.48041785,"{""type"":""Polygon"",""coordinates"":[[[126.95992715,37.48041785],[126.95987536,37.48000063],[126.959722,37.47959943],[126.95947297,37.47922969],[126.95913781,37.47890561],[126.95872943,37.47863964],[126.95826351,37.47844201],[126.95775796,37.47832031],[126.9572322,37.47827921],[126.95670644,37.47832031],[126.95620089,37.47844201],[126.95573497,37.47863964],[126.95532659,37.47890561],[126.95499143,37.47922969],[126.95474239,37.47959943],[126.95458904,37.48000063],[126.95453725,37.48041785],[126.95458904,37.48083507],[126.95474239,37.48123625],[126.95499143,37.48160598],[126.95532659,37.48193005],[126.95573497,37.48219601],[126.95620089,37.48239363],[126.95670644,37.48251533],[126.9572322,37.48255642],[126.95775796,37.48251533],[126.95826351,37.48239363],[126.95872943,37.48219601],[126.95913781,37.48193005],[126.95947297,37.48160598],[126.959722,37.48123625],[126.95987536,37.48083507],[126.95992715,37.48041785]]]}",서울
13,13,6230070,2017,1174010500,11740001,강동구,서울특별시 강동구 길동(길동초교 부근),2,2,0,1,1,0,127.144506,37.53853829,"{""type"":""Polygon"",""coordinates"":[[[127.1472009,37.53853829],[127.14714912,37.53812139],[127.14699576,37.53772051],[127.14674672,37.53735106],[127.14641157,37.53702723],[127.14600318,37.53676147],[127.14553726,37.53656399],[127.14503171,37.53644238],[127.14450595,37.53640132],[127.14398019,37.53644238],[127.14347464,37.53656399],[127.14300872,37.53676147],[127.14260034,37.53702723],[127.14226519,37.53735106],[127.14201615,37.53772051],[127.14186279,37.53812139],[127.14181101,37.53853829],[127.14186279,37.53895519],[127.14201615,37.53935606],[127.14226519,37.5397255],[127.14260034,37.54004932],[127.14300872,37.54031507],[127.14347464,37.54051254],[127.14398019,37.54063414],[127.14450595,37.5406752],[127.14503171,37.54063414],[127.14553726,37.54051254],[127.14600318,37.54031507],[127.14641157,37.54004932],[127.14674672,37.5397255],[127.14699576,37.53935606],[127.14714912,37.53895519],[127.1472009,37.53853829]]]}",서울
14,14,6394546,2018,1150010500,11500001,강서구,서울특별시 강서구 마곡동(공항초교 부근),2,2,0,0,2,0,126.8191729,37.56259489999999,"{""type"":""Polygon"",""coordinates"":[[[126.8218678,37.5625949],[126.82181602,37.56217814],[126.82166266,37.56177739],[126.82141362,37.56140805],[126.82107847,37.56108433],[126.82067009,37.56081865],[126.82020417,37.56062123],[126.81969861,37.56049967],[126.81917286,37.56045862],[126.8186471,37.56049967],[126.81814155,37.56062123],[126.81767562,37.56081865],[126.81726724,37.56108433],[126.81693209,37.56140805],[126.81668305,37.56177739],[126.81652969,37.56217814],[126.81647791,37.5625949],[126.81652969,37.56301166],[126.81668305,37.5634124],[126.81693209,37.56378173],[126.81726724,37.56410544],[126.81767562,37.56437111],[126.81814155,37.56456851],[126.8186471,37.56469007],[126.81917286,37.56473112],[126.81969861,37.56469007],[126.82020417,37.56456851],[126.82067009,37.56437111],[126.82107847,37.56410544],[126.82141362,37.56378173],[126.82166266,37.5634124],[126.82181602,37.56301166],[126.8218678,37.5625949]]]}",서울
15,15,6393989,2018,1153010200,11530001,구로구,서울특별시 구로구 구로동(구일초교 부근),2,2,0,0,1,1,126.872987,37.49325846,"{""type"":""Polygon"",""coordinates"":[[[126.87568192,37.49325846],[126.87563013,37.49284131],[126.87547678,37.49244019],[126.87522774,37.49207051],[126.87489258,37.49174648],[126.8744842,37.49148056],[126.87401828,37.49128296],[126.87351273,37.49116128],[126.87298697,37.49112019],[126.87246121,37.49116128],[126.87195566,37.49128296],[126.87148974,37.49148056],[126.87108136,37.49174648],[126.8707462,37.49207051],[126.87049716,37.49244019],[126.87034381,37.49284131],[126.87029202,37.49325846],[126.87034381,37.49367561],[126.87049716,37.49407673],[126.8707462,37.49444639],[126.87108136,37.49477041],[126.87148974,37.49503632],[126.87195566,37.49523391],[126.87246121,37.49535558],[126.87298697,37.49539667],[126.87351273,37.49535558],[126.87401828,37.49523391],[126.8744842,37.49503632],[126.87489258,37.49477041],[126.87522774,37.49444639],[126.87547678,37.49407673],[126.87563013,37.49367561],[126.87568192,37.49325846]]]}",서울
16,16,6394547,2018,1168011200,11680001,강남구,서울특별시 강남구 자곡동(자곡초교 부근),2,2,0,1,1,0,127.0996315,37.47300457,"{""type"":""Polygon"",""coordinates"":[[[127.10232641,37.47300457],[127.10227463,37.47258731],[127.10212127,37.47218607],[127.10187223,37.4718163],[127.10153708,37.47149218],[127.10112869,37.47122619],[127.10066277,37.47102853],[127.10015722,37.47090682],[127.09963146,37.47086572],[127.0991057,37.47090682],[127.09860015,37.47102853],[127.09813423,37.47122619],[127.09772585,37.47149218],[127.0973907,37.4718163],[127.09714166,37.47218607],[127.0969883,37.47258731],[127.09693652,37.47300457],[127.0969883,37.47342183],[127.09714166,37.47382305],[127.0973907,37.47419282],[127.09772585,37.47451693],[127.09813423,37.47478291],[127.09860015,37.47498055],[127.0991057,37.47510226],[127.09963146,37.47514336],[127.10015722,37.47510226],[127.10066277,37.47498055],[127.10112869,37.47478291],[127.10153708,37.47451693],[127.10187223,37.47419282],[127.10212127,37.47382305],[127.10227463,37.47342183],[127.10232641,37.47300457]]]}",서울
17,17,6394227,2018,1168011800,11680002,강남구,서울특별시 강남구 도곡동(언주초교 부근),2,2,0,1,1,0,127.0378933,37.48670858,"{""type"":""Polygon"",""coordinates"":[[[127.04058825,37.48670858],[127.04053647,37.48629139],[127.04038311,37.48589024],[127.04013407,37.48552053],[127.03979892,37.48519647],[127.03939054,37.48493052],[127.03892462,37.48473291],[127.03841906,37.48461122],[127.0378933,37.48457013],[127.03736755,37.48461122],[127.03686199,37.48473291],[127.03639607,37.48493052],[127.03598769,37.48519647],[127.03565254,37.48552053],[127.0354035,37.48589024],[127.03525014,37.48629139],[127.03519836,37.48670858],[127.03525014,37.48712577],[127.0354035,37.48752692],[127.03565254,37.48789662],[127.03598769,37.48822066],[127.03639607,37.4884866],[127.03686199,37.4886842],[127.03736755,37.48880589],[127.0378933,37.48884698],[127.03841906,37.48880589],[127.03892462,37.4886842],[127.03939054,37.4884866],[127.03979892,37.48822066],[127.04013407,37.48789662],[127.04038311,37.48752692],[127.04053647,37.48712577],[127.04058825,37.48670858]]]}",서울
18,18,6394548,2018,1168010600,11680003,강남구,서울특별시 강남구 대치동(대치초교 부근),2,2,0,0,2,0,127.0605609,37.49021808,"{""type"":""Polygon"",""coordinates"":[[[127.06325587,37.49021808],[127.06320409,37.48980092],[127.06305073,37.48939978],[127.06280169,37.48903008],[127.06246654,37.48870604],[127.06205816,37.48844011],[127.06159224,37.4882425],[127.06108668,37.48812082],[127.06056093,37.48807973],[127.06003517,37.48812082],[127.05952962,37.4882425],[127.05906369,37.48844011],[127.05865531,37.48870604],[127.05832016,37.48903008],[127.05807112,37.48939978],[127.05791776,37.48980092],[127.05786598,37.49021808],[127.05791776,37.49063525],[127.05807112,37.49103638],[127.05832016,37.49140606],[127.05865531,37.49173009],[127.05906369,37.49199601],[127.05952962,37.49219361],[127.06003517,37.49231529],[127.06056093,37.49235638],[127.06108668,37.49231529],[127.06159224,37.49219361],[127.06205816,37.49199601],[127.06246654,37.49173009],[127.06280169,37.49140606],[127.06305073,37.49103638],[127.06320409,37.49063525],[127.06325587,37.49021808]]]}",서울
19,19,6394249,2018,1174010700,11740001,강동구,서울특별시 강동구 암사동(보람나무어린이집 부근),1,1,1,0,0,0,127.1350506,37.55180838,"{""type"":""Polygon"",""coordinates"":[[[127.13774554,37.55180838],[127.13769375,37.55139155],[127.1375404,37.55099075],[127.13729136,37.55062136],[127.13695621,37.55029759],[127.13654782,37.55003187],[127.1360819,37.54983443],[127.13557635,37.54971284],[127.13505059,37.54967179],[127.13452483,37.54971284],[127.13401928,37.54983443],[127.13355336,37.55003187],[127.13314498,37.55029759],[127.13280983,37.55062136],[127.13256079,37.55099075],[127.13240743,37.55139155],[127.13235565,37.55180838],[127.13240743,37.5522252],[127.13256079,37.552626],[127.13280983,37.55299538],[127.13314498,37.55331914],[127.13355336,37.55358484],[127.13401928,37.55378228],[127.13452483,37.55390385],[127.13505059,37.55394491],[127.13557635,37.55390385],[127.1360819,37.55378228],[127.13654782,37.55358484],[127.13695621,37.55331914],[127.13729136,37.55299538],[127.1375404,37.552626],[127.13769375,37.5522252],[127.13774554,37.55180838]]]}",서울
20,20,6503356,2019,1111016900,11110001,종로구,서울특별시 종로구 혜화동(서울혜화초교 부근),2,2,0,0,1,1,126.9988045,37.58973968,"{""type"":""Polygon"",""coordinates"":[[[127.00149943,37.58973968],[127.00144765,37.58932307],[127.00129429,37.58892246],[127.00104525,37.58855326],[127.0007101,37.58822965],[127.00030171,37.58796408],[126.99983579,37.58776673],[126.99933024,37.58764521],[126.99880448,37.58760417],[126.99827872,37.58764521],[126.99777317,37.58776673],[126.99730725,37.58796408],[126.99689887,37.58822965],[126.99656372,37.58855326],[126.99631468,37.58892246],[126.99616132,37.58932307],[126.99610954,37.58973968],[126.99616132,37.59015629],[126.99631468,37.59055688],[126.99656372,37.59092607],[126.99689887,37.59124967],[126.99730725,37.59151524],[126.99777317,37.59171257],[126.99827872,37.59183409],[126.99880448,37.59187512],[126.99933024,37.59183409],[126.99983579,37.59171257],[127.00030171,37.59151524],[127.0007101,37.59124967],[127.00104525,37.59092607],[127.00129429,37.59055688],[127.00144765,37.59015629],[127.00149943,37.58973968]]]}",서울
21,21,6503357,2019,1126010200,11260001,중랑구,서울특별시 중랑구 상봉동(서울중화초교 부근),2,2,0,1,1,0,127.0938024,37.60204398,"{""type"":""Polygon"",""coordinates"":[[[127.09649731,37.60204398],[127.09644553,37.60162743],[127.09629217,37.6012269],[127.09604313,37.60085776],[127.09570798,37.6005342],[127.0952996,37.60026867],[127.09483368,37.60007136],[127.09432812,37.59994985],[127.09380236,37.59990883],[127.09327661,37.59994985],[127.09277105,37.60007136],[127.09230513,37.60026867],[127.09189675,37.6005342],[127.0915616,37.60085776],[127.09131256,37.6012269],[127.0911592,37.60162743],[127.09110742,37.60204398],[127.0911592,37.60246052],[127.09131256,37.60286105],[127.0915616,37.60323018],[127.09189675,37.60355372],[127.09230513,37.60381924],[127.09277105,37.60401654],[127.09327661,37.60413804],[127.09380236,37.60417906],[127.09432812,37.60413804],[127.09483368,37.60401654],[127.0952996,37.60381924],[127.09570798,37.60355372],[127.09604313,37.60323018],[127.09629217,37.60286105],[127.09644553,37.60246052],[127.09649731,37.60204398]]]}",서울
22,22,6503371,2019,1126010500,11260002,중랑구,서울특별시 중랑구 망우동(서울면일초교 부근),2,2,0,0,2,0,127.098594,37.59158673,"{""type"":""Polygon"",""coordinates"":[[[127.10128895,37.59158673],[127.10123717,37.59117013],[127.10108381,37.59076953],[127.10083477,37.59040034],[127.10049962,37.59007674],[127.10009123,37.58981117],[127.09962531,37.58961383],[127.09911976,37.58949231],[127.098594,37.58945128],[127.09806824,37.58949231],[127.09756269,37.58961383],[127.09709677,37.58981117],[127.09668839,37.59007674],[127.09635324,37.59040034],[127.0961042,37.59076953],[127.09595084,37.59117013],[127.09589906,37.59158673],[127.09595084,37.59200333],[127.0961042,37.59240391],[127.09635324,37.59277309],[127.09668839,37.59309668],[127.09709677,37.59336224],[127.09756269,37.59355957],[127.09806824,37.59368109],[127.098594,37.59372212],[127.09911976,37.59368109],[127.09962531,37.59355957],[127.10009123,37.59336224],[127.10049962,37.59309668],[127.10083477,37.59277309],[127.10108381,37.59240391],[127.10123717,37.59200333],[127.10128895,37.59158673]]]}",서울
23,23,6503355,2019,1129013900,11290001,성북구,서울특별시 성북구 석관동(서울석관초교 부근),2,2,0,1,1,0,127.0590647,37.6103018,"{""type"":""Polygon"",""coordinates"":[[[127.06175965,37.6103018],[127.06170787,37.6098853],[127.06155451,37.60948481],[127.06130547,37.60911571],[127.06097032,37.60879219],[127.06056194,37.60852669],[127.06009602,37.6083294],[127.05959046,37.60820791],[127.0590647,37.60816689],[127.05853895,37.60820791],[127.05803339,37.6083294],[127.05756747,37.60852669],[127.05715909,37.60879219],[127.05682394,37.60911571],[127.0565749,37.60948481],[127.05642154,37.6098853],[127.05636976,37.6103018],[127.05642154,37.61071829],[127.0565749,37.61111878],[127.05682394,37.61148787],[127.05715909,37.61181137],[127.05756747,37.61207687],[127.05803339,37.61227415],[127.05853895,37.61239563],[127.0590647,37.61243665],[127.05959046,37.61239563],[127.06009602,37.61227415],[127.06056194,37.61207687],[127.06097032,37.61181137],[127.06130547,37.61148787],[127.06155451,37.61111878],[127.06170787,37.61071829],[127.06175965,37.6103018]]]}",서울
24,24,6503381,2019,1150010500,11500001,강서구,서울특별시 강서구 마곡동(서울송화초교 부근),2,2,0,1,1,0,126.816924,37.56876684,"{""type"":""Polygon"",""coordinates"":[[[126.81961893,37.56876684],[126.81956715,37.56835011],[126.81941379,37.56794939],[126.81916475,37.56758009],[126.8188296,37.56725639],[126.81842121,37.56699074],[126.81795529,37.56679334],[126.81744974,37.56667178],[126.81692398,37.56663073],[126.81639823,37.56667178],[126.81589267,37.56679334],[126.81542675,37.56699074],[126.81501837,37.56725639],[126.81468322,37.56758009],[126.81443418,37.56794939],[126.81428082,37.56835011],[126.81422904,37.56876684],[126.81428082,37.56918356],[126.81443418,37.56958427],[126.81468322,37.56995357],[126.81501837,37.57027725],[126.81542675,37.5705429],[126.81589267,37.57074029],[126.81639823,37.57086184],[126.81692398,37.57090288],[126.81744974,37.57086184],[126.81795529,37.57074029],[126.81842121,37.5705429],[126.8188296,37.57027725],[126.81916475,37.56995357],[126.81941379,37.56958427],[126.81956715,37.56918356],[126.81961893,37.56876684]]]}",서울
