,시설종류,대상시설명,행정구역,경도,위도,다발지역사고건수,다발지역KSI,스쿨존사고건수,스쿨존KSI,ARI
611,초등학교,서울신현초등학교,중랑구,127.0935215,37.60581469,6,1,2,1,1.65
176,어린이집,길음성가어린이집,성북구,127.0209503,37.60269641,6,1,2,1,1.65
830,초등학교,서울중화초등학교,중랑구,127.094066,37.60292027,6,1,2,1,1.65
98,어린이집,상봉어린이집,중랑구,127.0901512,37.60202594,6,1,2,1,1.65
821,유치원,이루니유치원,중랑구,127.0917588,37.60162827,6,1,2,1,1.65
622,유치원,예원유치원,중랑구,127.0947267,37.6059759,6,1,2,1,1.65
156,어린이집,웅지어린이집,성북구,127.0212171,37.6022014,6,1,2,1,1.65
623,유치원,정암유치원,중랑구,127.1037709,37.601161,6,1,2,1,1.65
157,어린이집,짐랜드어린이집,성북구,127.0158033,37.60390815,6,1,2,1,1.65
551,초등학교,신암초등학교,강동구,127.1244044,37.55002367,7,0,1,1,1.61
538,유치원,구강사유치원,강동구,127.1288199,37.5448184,7,0,1,1,1.61
944,어린이집,구립다원어린이집,관악구,126.91218899999998,37.471967,6,3,1,1,1.61
1013,유치원,한별유치원,관악구,126.913466,37.478419,6,3,1,1,1.61
934,유치원,난곡병설유치원,관악구,126.916344,37.46913,6,3,1,1,1.61
718,유치원,청은유치원,영등포구,126.885695,37.522523,8,1,0,0,1.61
924,유치원,영은유치원,영등포구,126.89001100000002,37.52530199,8,1,0,0,1.61
452,어린이집,역삼가애어린이집,강남구,127.044725,37.494809,7,4,0,0,1.61
696,초등학교,당중초등학교,영등포구,126.8894139,37.52628887,8,1,0,0,1.61
695,초등학교,문래초등학교,영등포구,126.8936053,37.51913876,8,1,0,0,1.61
419,초등학교,난곡초등학교,관악구,126.916342,37.46912800000001,6,3,1,1,1.61
726,초등학교,영문초등학교,영등포구,126.8875909,37.51980714,8,1,0,0,1.61
420,초등학교,난우초등학교,관악구,126.917652,37.477118,6,3,1,1,1.61
1376,어린이집,양평3가어린이집,영등포구,126.8874355,37.526829,8,1,0,0,1.61
338,유치원,애동유치원,관악구,126.920254,37.473814,6,3,1,1,1.61
917,어린이집,양평1동어린이집,영등포구,126.888358,37.523625,8,1,0,0,1.61
337,유치원,신림유치원,관악구,126.92023799999998,37.472093,6,3,1,1,1.61
331,유치원,예닮유치원,관악구,126.922468,37.482238,6,3,1,1,1.61
319,초등학교,신림초등학교,관악구,126.926876,37.47715,6,3,1,1,1.61
308,어린이집,예꿈어린이집,강동구,127.1329509,37.54793943,7,0,1,1,1.61
608,초등학교,강동초등학교,강동구,127.1301872,37.5463638,7,0,1,1,1.61
908,유치원,당중초등학교병설유치원,영등포구,126.8894139,37.52628887,8,1,0,0,1.61
312,초등학교,미성초등학교,관악구,126.912394,37.478339,6,3,1,1,1.61
583,유치원,오송유치원,강동구,127.131908,37.5458079,7,0,1,1,1.61
1065,어린이집,미라클어린이집,관악구,126.919802,37.473654,6,3,1,1,1.61
1069,어린이집,초롱별어린이집,관악구,126.915318,37.47621,6,3,1,1,1.61
1185,어린이집,중앙삐아제어린이집,동대문구,127.0667747,37.60403447,3,0,5,1,1.61
115,초등학교,석계초등학교,성북구,127.0697429,37.60881522,3,0,5,1,1.61
429,어린이집,대치동학원가,강남구,127.05489579999998,37.49708841,6,0,2,0,1.6
189,어린이집,도담어린이집,성북구,127.0435012,37.6131154,3,0,5,0,1.6
125,유치원,탑주유치원,성북구,127.041073,37.60477971,3,0,5,0,1.6
118,초등학교,숭인초등학교,성북구,127.0382348,37.60916119,3,0,5,0,1.6
147,유치원,영천유치원,성북구,127.0404596,37.61412669,3,0,5,0,1.6
792,유치원,은혜유치원,은평구,126.92754740000002,37.617749100000005,4,2,3,1,1.52
772,초등학교,연신초등,은평구,126.92827369999999,37.6262605,4,2,3,1,1.52
812,초등학교,신도초등(병설포함),은평구,126.929152,37.6327684,4,2,3,1,1.52
1121,유치원,선미유치원,강서구,126.843663,37.53933048,7,3,0,0,1.52
752,초등학교,연광초등,은평구,126.9240662,37.623843,4,2,3,1,1.52
781,초등학교,수리초등,은평구,126.93424399999999,37.620489,4,2,3,1,1.52
963,유치원,천사,도봉구,127.0330968573,37.6586809094,4,1,3,2,1.52
742,어린이집,진관어린이집,은평구,126.9236287,37.6304386,4,2,3,1,1.52
965,유치원,정의,도봉구,127.0318063,37.6529105,4,1,3,2,1.52
751,초등학교,신도초등,은평구,126.9291409,37.632785,4,2,3,1,1.52
998,초등학교,창경,도봉구,127.0347544,37.6561144,4,1,3,2,1.52
773,초등학교,연천초등,은평구,126.92948740000001,37.620805,4,2,3,1,1.52
1006,초등학교,한신,도봉구,127.0318063,37.6529105,4,1,3,2,1.52
813,초등학교,연광초등(병설포함),은평구,126.924019,37.6238264,4,2,3,1,1.52
1008,유치원,솔샘,도봉구,127.0377335198,37.6571082049,4,1,3,2,1.52
1007,유치원,다솜,도봉구,127.0377335198,37.6571082049,4,1,3,2,1.52
1138,특수학교,교남학교,강서구,126.8523507,37.54796965,4,1,3,1,1.46
1537,유치원,예은유치원,송파구,127.120402,37.504712,7,2,0,0,1.46
1533,유치원,시연유치원,송파구,127.1173577,37.504849238,7,2,0,0,1.46
82,학원,눈높이러닝센터,강서구,126.84714270000002,37.54262055,4,1,3,1,1.46
1083,초등학교,화곡초등학교,강서구,126.8464706,37.5436698,4,1,3,1,1.46
1481,어린이집,성서대부설어린이집,노원구,127.06516200000002,37.650156,7,2,0,0,1.46
194,어린이집,하은어린이집,성북구,127.0598976,37.60889216,3,1,4,1,1.46
22,초등학교,상명초교,노원구,127.066969,37.64872329999999,7,2,0,0,1.46
1126,유치원,동그라미유치원,강서구,126.8491643,37.5501136,4,1,3,1,1.46
1128,유치원,강서유치원,강서구,126.8500391,37.54821183,4,1,3,1,1.46
1580,초등학교,상수초교,노원구,127.064735,37.65110673,7,2,0,0,1.46
1470,초등학교,선곡초교,노원구,127.0578035,37.61869289,3,1,4,1,1.46
604,초등학교,가재울초등학교,서대문구,126.918151,37.574695,6,4,0,0,1.44
1110,초등학교,수명초등학교,강서구,126.823844,37.55277438,6,4,0,0,1.44
344,어린이집,곡교어린이집,강동구,127.1278081,37.543502200000006,7,0,0,0,1.4
311,학원,근경보습학원,강동구,127.1273666,37.5432359,7,0,0,0,1.4
298,어린이집,자연어린이집,강동구,127.124518,37.5465048,7,0,0,0,1.4
1070,초등학교,가곡초등학교,강서구,126.8361018,37.5557076,6,3,0,0,1.34
345,어린이집,둔촌어린이집,강동구,127.14300559999998,37.5305225,4,2,2,1,1.34
302,어린이집,애지어린이집,강동구,127.1415805,37.531761,4,2,2,1,1.34
1324,어린이집,애경어린이집,금천구,126.9092077,37.47712526,6,3,0,0,1.34
1330,초등학교,정심초등학교,금천구,126.9082146,37.47199234,6,3,0,0,1.34
539,유치원,둔촌유치원,강동구,127.1397064,37.531341,4,2,2,1,1.34
546,초등학교,선린초등학교,강동구,127.145594,37.52976012,4,2,2,1,1.34
1326,초등학교,영남초등학교,금천구,126.907946,37.47612758,6,3,0,0,1.34
560,유치원,선린초병설유치원,강동구,127.145594,37.52976012,4,2,2,1,1.34
1132,어린이집,프란체스코어린이집,강서구,126.8146107,37.5555119,3,2,3,1,1.34
1598,초등학교,명지초등학교,서대문구,126.9282301,37.58362949,3,3,2,1,1.28
1047,초등학교,장수초교,양천구,126.845158,37.512998,6,2,0,0,1.26
1046,초등학교,지향초교,양천구,126.837024,37.512839,6,2,0,0,1.26
532,초등학교,상도초등학교,동작구,126.9372712,37.50034624,6,2,0,0,1.26
559,유치원,가람유치원,강동구,127.1535579,37.54851639,6,2,0,0,1.26
466,어린이집,성대어린이집,동작구,126.935311,37.49682045,6,2,0,0,1.26
304,어린이집,올리브나무어린이집,강동구,127.1459154,37.5478059,6,2,0,0,1.26
1049,초등학교,신은초교,양천구,126.832171,37.513992,6,2,0,0,1.26
307,어린이집,푸른숲어린이집,강동구,127.1535042,37.5488256,6,2,0,0,1.26
515,유치원,버들유치원,구로구,126.842809,37.49168436,4,1,2,1,1.26
571,초등학교,대명초등학교,강동구,127.1532701,37.5476037,6,2,0,0,1.26
578,유치원,녹원유치원,강동구,127.1535579,37.54851639,6,2,0,0,1.26
494,유치원,은혜유치원,동작구,126.9332022,37.4977312,6,2,0,0,1.26
815,어린이집,은평감리교회 어린이집,은평구,126.92320670000001,37.6044835,3,1,3,1,1.26
493,유치원,승혜유치원,동작구,126.9370792,37.4986394,6,2,0,0,1.26
1176,초등학교,신남초교,양천구,126.844798,37.516529,6,2,0,0,1.26
757,어린이집,하늘어린이집,은평구,126.904802,37.6006912,3,1,3,1,1.26
463,어린이집,무지개어린이집,동작구,126.9332022,37.4977312,6,2,0,0,1.26
758,유치원,은평국제유치원,은평구,126.91146850000001,37.599004,3,1,3,1,1.26
759,초등학교,은명초등(병설포함),은평구,126.91883329999999,37.5979615,3,1,3,1,1.26
762,초등학교,예일초등,은평구,126.91516229999999,37.6101791,3,1,3,1,1.26
771,초등학교,역촌초등,은평구,126.91426570000002,37.6017363,3,1,3,1,1.26
753,초등학교,은명초등,은평구,126.91883329999999,37.597978000000005,3,1,3,1,1.26
1377,어린이집,꿈나무어린이집,영등포구,126.913041,37.49902264,6,2,0,0,1.26
741,어린이집,홍익어린이집,은평구,126.9076396,37.59629761,3,1,3,1,1.26
691,초등학교,대길초등학교,영등포구,126.9131719,37.49817578,6,2,0,0,1.26
427,어린이집,윤슬어린이집,동작구,126.937375,37.497516,6,2,0,0,1.26
435,학원,참음악학원,동작구,126.934673,37.49800113,6,2,0,0,1.26
654,어린이집,연꽃어린이집,동작구,126.9360196,37.49326005,6,2,0,0,1.26
648,어린이집,코레일오류동어린이집,구로구,126.8453299,37.49548271,4,1,2,1,1.26
783,특수학교,은평대영학교,은평구,126.907072,37.6056209,3,1,3,1,1.26
791,유치원,예일(예일초교 중복),은평구,126.91516229999999,37.6101791,3,1,3,1,1.26
646,어린이집,예쁜별어린이집,구로구,126.84306200000002,37.4924091,4,1,2,1,1.26
793,유치원,백합유치원,은평구,126.917391,37.608195,3,1,3,1,1.26
794,유치원,서울역촌유치원,은평구,126.9188633,37.604196,3,1,3,1,1.26
796,유치원,보람유치원,은평구,126.914225,37.6000472,3,1,3,1,1.26
