index,행정구역,시설종류,대상시설명,위도,경도,CARI,CARI300
119,성북구,유치원,덕수유치원,37.5940033,126.9952986,0.4,0.01
120,성북구,유치원,동덕유치원,37.6062049,127.0440045,1.78,0.05
121,성북구,유치원,반디유치원,37.59447253,127.012706,0.6,0.14
122,성북구,유치원,사랑유치원,37.59989962,127.0363501,0.9,0.01
123,성북구,유치원,세아유치원,37.59447253,127.012706,0.6,0.14
124,성북구,유치원,은영유치원,37.5846232,127.0166844,0.27,0.0
125,성북구,유치원,탑주유치원,37.60477971,127.041073,1.34,0.27
126,성북구,유치원,한마음유치원,37.6161682,127.0411878,1.01,0.0
127,성북구,유치원,희망찬유치원,37.59899113,127.0231416,0.6,0.0
128,성북구,유치원,나래유치원,37.60954002,127.0226511,1.08,0.95
129,성북구,유치원,돈암병설유치원,37.5937453,127.0131031,0.6,0.05
130,성북구,유치원,동선유치원,37.58403157,127.02036409999998,0.25,0.0
131,성북구,유치원,동신병설유치원,37.58328607,127.0170593,0.38,0.0
132,성북구,초등학교,우촌초등학교,37.59564089,127.0114006,0.6,0.19
133,성북구,유치원,삼선병설유치원,37.58714288,127.0126717,0.08,0.0
134,성북구,유치원,새삼선유치원,37.58998063,127.0059939,0.48,0.0
135,성북구,유치원,석관병설유치원,37.61102341,127.0583548,1.9,0.98
136,성북구,유치원,선한유치원,37.60398309,127.0205883,1.52,0.0
137,성북구,유치원,성북병설유치원,37.59405236,126.9987771,0.4,0.04
138,성북구,유치원,베네딕도유치원,37.59965547,127.0158038,0.6,0.32
139,성북구,유치원,새싹유치원,37.60298573,127.0142327,0.82,0.0
140,성북구,유치원,영암유치원,37.58236597,127.0234341,0.24,0.0
141,성북구,유치원,좋은소리유치원,37.6083303,127.0188388,1.08,0.19
142,성북구,유치원,한가람유치원,37.61630277,127.010289,0.02,0.0
143,성북구,유치원,개동유치원,37.6157955,127.0049727,0.0,0.0
144,성북구,유치원,길원병설유치원,37.60906528,127.0167359,1.08,0.02
145,성북구,유치원,길음단설유치원,37.61363151,127.0166585,1.08,0.0
146,성북구,유치원,예린유치원,37.60000168,127.0323416,0.76,0.0
147,성북구,유치원,영천유치원,37.61412669,127.0404596,1.52,0.0
148,성북구,유치원,해뜨는유치원,37.60483170000001,127.0157068,1.47,0.0
149,성북구,유치원,루이유치원,37.60713001,127.0163762,1.22,0.0
150,성북구,특수학교,서울다원학교,37.59394033,126.9913627,0.35,0.0
151,성북구,어린이집,솔샘어린이집,37.6137458,127.0111087,0.32,0.0
152,성북구,어린이집,안암어린이집,37.5856466,127.0214146,0.09,0.0
153,성북구,어린이집,노벨어린이집,37.60840132,126.9970655,0.0,0.0
154,성북구,어린이집,북악어린이집,37.60980502,127.0078342,0.0,0.0
155,성북구,어린이집,성북어린이집,37.5896356,127.0059087,0.44,0.0
156,성북구,어린이집,웅지어린이집,37.6022014,127.0212171,1.32,0.0
157,성북구,어린이집,짐랜드어린이집,37.60390815,127.0158033,1.29,0.0
158,성북구,어린이집,다솔어린이집,37.6088152,127.02474850000002,1.31,0.53
159,서대문구,어린이집,새솔어린이집,37.58581337,126.9487252,0.0,0.0
160,서대문구,특수학교,서울외국인학교,37.57032455,126.936153,0.0,0.0
161,성북구,어린이집,목화어린이집,37.60440698,127.0400044,1.22,0.35
162,성북구,어린이집,새싹어린이집,37.60412684,127.0370454,1.01,0.3
163,성북구,어린이집,장위3동어린이집,37.61675603,127.0534217,1.87,0.07
164,성북구,유치원,숭곡병설유치원,37.6084672,127.03281640000002,1.68,0.22
165,성북구,유치원,숭례병설유치원,37.59452281,127.03529679999998,0.08,0.0
166,성북구,유치원,신암유치원,37.58677107,127.0173862,0.08,0.0
167,성북구,유치원,영재유치원,37.59743497,127.0347683,0.33,0.0
168,성북구,유치원,우촌유치원,37.59564089,127.0114006,0.6,0.19
169,성북구,유치원,은하유치원,37.6094377,127.05865690000002,1.78,0.98
170,성북구,유치원,장월병설유치원,37.62194118,127.0471649,1.0,0.0
171,성북구,유치원,정덕병설유치원,37.59823941,127.013421,0.6,0.59
172,성북구,어린이집,종암어린이집,37.5997311,127.0333264,0.79,0.0
